Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SHLM,+ACI-A. Schulman, Inc.+ACI-,43.05,1271068556.1,n/a,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
ADES,+ACI-Advanced Emissions Solutions, Inc.+ACI-,10.95,227244682.05,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
ASIX,AdvanSix Inc.,34.07,1038554651.62,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AEGN,Aegion Corp,21.95,715425722.65,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AMTX,+ACI-Aemetis, Inc+ACI-,1.95,38654775.9,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AEM,Agnico Eagle Mines Limited,41.84,9755125871.36,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
APD,+ACI-Air Products and Chemicals, Inc.+ACI-,158.04,34601167446.12,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AKS,AK Steel Holding Corporation,4.4,1387247822.4,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
AGI,Alamos Gold Inc.,5.4,2101422808.8,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
AIN,Albany International Corporation,62.55,2014110000,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,93.24,10315928984.76,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,44.71,8324936231.59,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
AXU,Alexco Resource Corp,1.42,144332707.84,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,2.03,90697763.03,n/a,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
ATI,Allegheny Technologies Incorporated,23.35,2934184373.35,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
AAU,+ACI-Almaden Minerals, Ltd.+ACI-,0.8399,85837465.0375,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
ACH,Aluminum Corporation of China Limited,13.05,7779782673.45,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
AMRK,+ACI-A+AC0-Mark Precious Metals, Inc.+ACI-,11.79,82900795.5,n/a,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk
AMRC,+ACI-Ameresco, Inc.+ACI-,11.95,541584970.1,n/a,2010,Basic Industries,Engineering +ACY- Construction,https://www.nasdaq.com/symbol/amrc
AVD,American Vanguard Corporation,20.75,619365110.75,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd
AMWD,American Woodmark Corporation,95.2,1666317016,n/a,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd
USAS,Americas Silver Corporation,3.65,153049788.85,n/a,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMRS,+ACI-Amyris, Inc.+ACI-,6.8,292628820,n/a,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs
AU,AngloGold Ashanti Limited,9.65,3940328838.8,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au
AQMS,+ACI-Aqua Metals, Inc.+ACI-,2.41,69153046.1,n/a,2015,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/aqms
RKDA,+ACI-Arcadia Biosciences, Inc.+ACI-,30.47,65084864.57,n/a,2015,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/rkda
MT,ArcelorMittal,30.89,31401964280.43,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mt
AGX,+ACI-Argan, Inc.+ACI-,37.9,589296450.1,n/a,n/a,Basic Industries,Engineering +ACY- Construction,https://www.nasdaq.com/symbol/agx
AKG,Asanko Gold Inc.,0.8021,163187210.5097,n/a,n/a,Basic Industries,Mining +ACY- Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/akg
